"Diet";"Diff_poid"
"1";1;1.5
"2";3;4.5
"3";3;3.5
"4";2;2
"5";1;1.09999999999999
"6";1;3.5
"7";3;4.09999999999999
"8";3;7.59999999999999
"9";3;5
"10";3;3.4
"11";2;3.3
"12";2;2
"13";3;6.3
"14";3;6.8
"15";2;-1.40000000000001
"16";2;7
"17";1;3.5
"18";2;2.7
"19";3;2.8
"20";3;0.5
"21";2;3.5
"22";1;2.40000000000001
"23";1;2.8
"24";2;4.3
"25";1;9
"26";3;7.3
"27";3;6.8
"28";1;2
"29";1;-0.599999999999994
"30";3;7.8
"31";1;4.5
"32";2;3
"33";3;4.09999999999999
"34";3;5.4
"35";2;6.09999999999999
"36";1;1.90000000000001
"37";3;7.2
"38";1;5.09999999999999
"39";1;3.8
"40";2;3.6
"41";1;4.09999999999999
"42";2;5.3
"43";3;0.900000000000006
"44";3;9.2
"45";3;6.09999999999999
"46";2;5.8
"47";3;7
"48";1;0.700000000000003
"49";3;5.6
"50";1;0.900000000000006
"51";1;3.59999999999999
"52";1;8.5
"53";2;4.2
"54";2;5.40000000000001
"55";2;4.2
"56";2;-2.1
"57";3;7
"58";3;0.900000000000006
"59";2;2.40000000000001
"60";1;3.09999999999999
"61";2;1.7
"62";2;4.3
"63";2;7.90000000000001
"64";1;6
"65";2;0.600000000000001
"66";2;-0.5
"67";3;2.8
"68";3;2.5
"69";1;2
"70";3;8.59999999999999
"71";2;4.7
"72";3;5.3
"73";1;3
"74";1;3.90000000000001
"75";2;1.7
"76";1;2.9
